0000	烤牛舌	293	0001	调味螺肉	416
0002	拿破仑蛋糕	462	0003	辣子鸡	388
					
0004	猪排面	499	0005	炒猪肉配山柑	238
					
0006	棒棒鸡	861	0007	芙蓉蟹棒	341
					
0008	番茄蛋花面皮汤	843	0009	烤排骨	343
					
0010	炒生菜	240	0011	辣椒炒蛤蜊	329
					
0012	布朗尼	500	0013	鸭掌	1,818
					
0014	手抓饼	1,082	0015	榴莲饼	434
					
0016	烤兔肉	397	0017	干豆腐皮	422
					
0018	盘子加固	309	0019	飞鱼子战舰寿司	577
					
0020	蛋白酥泡芙	462	0021	酸菜炒肉	475
					
0022	土豆沙拉	490	0023	洋葱拌木耳	742
					
0024	薄饼	362	0025	脆皮鸡拌饭	673
					
0026	金色蛋糕	496	0027	汤中豆芽	478
					
0028	双椒蒸鱼头	381	0029	绿豆汤	1,947
					
0030	粗粮丰收	211	0031	蟹肉炒年糕	466
					
0032	鸡肉砂锅	381	0033	煎三宝	230
					
0034	柴火鸡	480	0035	金黄鳕鱼	336
					
0036	瓦香鸡	375	0037	松仁玉米	1,033
					
0038	秘制红枣	765	0039	榨菜肉丝	982
					
0040	炸带鱼	601	0041	酸奶紫米	401
					
0042	家常豆腐	463	0043	双鸡腿	1,010
					
0044	咖喱炒蟹	513	0045	广式腊肠炒饭	242
					
0046	蒜蓉烤茄子	628	0047	虾串	999
					
0048	云吞面	812	0049	炒腰花猪肝	424
					
0050	醋溜白菜	420	0051	蟹黄沙拉	475
					
0052	炒茄子	427	0053	四红粥	351
					
0054	水煮鱼	1,304	0055	烤鸡爪	439
					
0056	烤茄子	433	0057	红豆	316
					
0058	草帽糕	285	0059	梅菜笋	355
					
0060	凉拌肉冻	485	0061	卤鸭胗	728
					
0062	芥末章鱼	496	0063	奶酪烤甜薯	399
					
0064	炸麻花	447	0065	饺子	490
					
0066	番茄意面	363	0067	干罗汉果	473
					
0068	太妃糖蛋糕	406	0069	蟹黄豆腐	498
					
0070	烤肋排	1,259	0071	草莓圣代	787
					
0072	菠萝饭	268	0073	锡纸土豆	233
					
0074	白色炒猪肉饭	445	0075	黑胡椒猪排饭	251
					
0076	排骨饭	463	0077	红烧排骨面	445
					
0078	辣虾	464	0079	蒜蓉菜心	332
					
0080	荷叶蒸鸡	424	0081	辣白菜炒饭	493
					
0082	菠萝虾饼	406	0083	辣烧尖椒	351
					
0084	葱爆羊肉	500	0085	八珍豆腐	475
					
0086	驴肉	802	0087	煎蛋卷	167
					
